Gender,forearmcenterofgriplength,elbow_wrist_length,handbreadth,handcircumference,thumbbreadth_estimated,radialestylionlength,wristcircumference,forearmcircumferenceflexed,forearm_taper_diff
Male,335,598,93,225,26٫04,252,176,325,149
Male,335,600,84,212,23٫52,256,172,321,149
Male,335,601,84,203,23٫52,250,169,300,131
Male,335,601,84,203,23٫52,254,165,284,119
Male,335,601,87,202,24٫36,256,172,305,133
Male,335,601,89,212,24٫92,256,173,307,134
Male,335,603,88,206,24٫64,257,169,281,112
Male,335,603,89,212,24٫92,251,176,304,128
Male,335,604,92,219,25٫76,250,180,332,152
Male,335,606,86,210,24٫08,250,176,310,134
Male,335,607,85,202,23٫8,254,182,309,127
Male,335,607,87,210,24٫36,252,166,280,114
Male,335,607,93,227,26٫04,245,184,334,150
Male,335,608,84,207,23٫52,252,178,311,133
Male,335,610,87,202,24٫36,252,170,294,124
Male,335,610,92,220,25٫76,263,182,305,123
Male,335,611,92,214,25٫76,266,177,297,120
Male,335,612,84,209,23٫52,253,174,299,125
Male,335,613,88,208,24٫64,265,179,324,145
Male,335,615,93,220,26٫04,262,181,326,145
Male,335,616,93,220,26٫04,265,178,330,152
Male,335,617,87,211,24٫36,260,181,325,144
Male,335,618,89,220,24٫92,262,182,311,129
Male,335,619,84,211,23٫52,267,182,326,144
Male,335,620,82,201,22٫96,259,164,297,133
Male,335,620,90,214,25٫2,260,176,322,146
Male,335,622,91,217,25٫48,255,182,335,153
Male,335,622,92,225,25٫76,262,183,326,143
Male,335,623,87,208,24٫36,258,168,298,130
Male,335,624,85,205,23٫8,267,165,301,136
Male,335,626,92,221,25٫76,268,169,306,137
Male,335,627,90,213,25٫2,264,171,302,131
Male,335,627,91,220,25٫48,261,174,307,133
Male,335,628,92,219,25٫76,266,178,317,139
Male,335,629,88,207,24٫64,260,172,283,111
Male,335,632,81,195,22٫68,264,168,280,112
Male,335,632,92,223,25٫76,259,178,320,142
Male,335,634,90,214,25٫2,269,163,303,140
Male,335,635,92,219,25٫76,262,168,318,150
Male,335,637,86,202,24٫08,259,166,275,109
Male,335,642,89,210,24٫92,262,164,298,134
Male,335,646,86,206,24٫08,271,165,286,121
Male,336,581,85,198,23٫8,249,167,296,129
Male,336,581,90,222,25٫2,252,175,315,140
Male,336,582,84,207,23٫52,248,169,292,123
Male,336,582,87,207,24٫36,248,170,311,141
Male,336,582,88,208,24٫64,255,175,286,111
Male,336,589,83,203,23٫24,256,174,309,135
Male,336,591,86,205,24٫08,254,174,290,116
Male,336,595,82,198,22٫96,252,169,303,134
Male,336,599,90,211,25٫2,258,175,293,118
Male,336,600,95,224,26٫6,265,179,328,149
Male,336,602,85,205,23٫8,265,172,317,145
Male,336,603,82,199,22٫96,257,163,287,124
Male,336,603,84,200,23٫52,250,176,320,144
Male,336,603,85,206,23٫8,251,173,302,129
Male,336,603,88,212,24٫64,251,179,292,113
Male,336,605,91,213,25٫48,250,183,297,114
Male,336,606,88,207,24٫64,251,170,311,141
Male,336,607,82,204,22٫96,257,169,297,128
Male,336,607,89,215,24٫92,262,182,323,141
Male,336,607,91,217,25٫48,262,162,288,126
Male,336,607,91,220,25٫48,247,174,296,122
Male,336,608,86,197,24٫08,263,176,287,111
Male,336,609,85,206,23٫8,259,170,300,130
Male,336,610,87,211,24٫36,256,175,314,139
Male,336,611,90,217,25٫2,254,175,327,152
Male,336,615,90,221,25٫2,247,172,298,126
Male,336,616,90,211,25٫2,269,170,288,118
Male,336,616,90,212,25٫2,258,174,304,130
Male,336,617,88,206,24٫64,261,170,288,118
Male,336,617,93,218,26٫04,264,177,316,139
Male,336,618,83,200,23٫24,259,172,287,115
Male,336,619,84,198,23٫52,264,175,317,142
Male,336,619,88,208,24٫64,258,171,281,110
Male,336,619,90,210,25٫2,261,176,309,133
Male,336,619,91,214,25٫48,264,187,324,137
Male,336,620,90,210,25٫2,257,179,296,117
Male,336,621,86,212,24٫08,262,167,290,123
Male,336,621,87,210,24٫36,269,170,311,141
Male,336,623,85,205,23٫8,261,166,284,118
Male,336,623,88,208,24٫64,265,176,311,135
Male,336,623,90,219,25٫2,267,184,306,122
Male,336,624,88,210,24٫64,264,174,307,133
Male,336,625,84,198,23٫52,262,165,284,119
Male,336,625,86,202,24٫08,265,175,309,134
Male,336,627,83,199,23٫24,268,167,309,142
Male,336,627,84,204,23٫52,267,166,288,122
Male,336,627,87,209,24٫36,258,177,293,116
Male,336,628,86,209,24٫08,262,171,300,129
Male,336,628,87,215,24٫36,266,186,298,112
Male,336,629,88,210,24٫64,263,166,298,132
Male,336,629,90,210,25٫2,267,175,307,132
Male,336,630,88,211,24٫64,260,170,325,155
Male,336,630,90,208,25٫2,268,168,310,142
Male,336,632,82,201,22٫96,271,165,295,130
Male,336,639,83,205,23٫24,261,168,322,154
Male,336,643,92,218,25٫76,263,168,304,136
Male,336,649,88,205,24٫64,260,163,280,117
Male,337,584,84,202,23٫52,252,170,320,150
Male,337,588,88,210,24٫64,254,170,312,142
Male,337,590,84,200,23٫52,259,171,315,144
Male,337,591,85,204,23٫8,251,173,308,135
Male,337,593,83,195,23٫24,257,172,329,157
Male,337,594,87,212,24٫36,249,178,332,154
Male,337,596,87,217,24٫36,250,172,318,146
Male,337,597,84,201,23٫52,254,170,296,126
Male,337,601,91,222,25٫48,252,176,331,155
Male,337,602,85,207,23٫8,260,169,283,114
Male,337,602,87,223,24٫36,257,182,324,142
Male,337,603,90,216,25٫2,253,185,321,136
Male,337,603,91,213,25٫48,260,173,321,148
Male,337,603,92,219,25٫76,250,178,319,141
Male,337,604,89,209,24٫92,261,174,299,125
Male,337,607,90,213,25٫2,253,181,332,151
Male,337,607,92,223,25٫76,260,180,321,141
Male,337,608,84,206,23٫52,263,170,311,141
Male,337,608,87,205,24٫36,261,179,308,129
Male,337,609,84,201,23٫52,262,162,284,122
Male,337,609,88,208,24٫64,263,166,292,126
Male,337,609,92,219,25٫76,261,173,302,129
Male,337,610,90,214,25٫2,260,170,310,140
Male,337,611,84,201,23٫52,260,165,290,125
Male,337,611,84,207,23٫52,265,170,292,122
Male,337,613,85,207,23٫8,252,177,294,117
Male,337,613,88,212,24٫64,260,177,303,126
Male,337,613,94,222,26٫32,260,189,344,155
Male,337,614,86,206,24٫08,257,173,330,157
Male,337,614,91,215,25٫48,253,186,312,126
Male,337,614,92,219,25٫76,252,175,309,134
Male,337,614,92,223,25٫76,253,190,327,137
Male,337,615,90,215,25٫2,259,168,317,149
Male,337,616,86,206,24٫08,261,168,292,124
Male,337,616,86,208,24٫08,264,179,317,138
Male,337,616,90,222,25٫2,261,174,291,117
Male,337,616,91,224,25٫48,259,177,308,131
Male,337,617,92,218,25٫76,252,179,298,119
Male,337,617,92,221,25٫76,260,178,327,149
Male,337,618,88,208,24٫64,260,180,335,155
Male,337,619,88,207,24٫64,263,164,285,121
Male,337,621,88,210,24٫64,258,172,299,127
Male,337,621,89,212,24٫92,264,175,337,162
